"date","PCA1"
1990-09-26,2.08425024700286
1990-09-27,2.14792615049902
1990-09-28,2.17721877791439
1990-10-01,2.1658644894495
1990-10-02,2.13038178696585
1990-10-03,2.07897094824247
1990-10-04,2.05041464322986
1990-10-05,2.01043836900358
1990-10-08,2.01557340614246
1990-10-09,2.08112681606235
1990-10-10,2.11666778124254
1990-10-11,2.15685769950884
1990-10-12,2.12560411627691
1990-10-15,2.09908904307674
1990-10-16,2.058460728537
1990-10-17,2.04475039542485
1990-10-18,2.02102556335381
1990-10-19,2.04040639065655
1990-10-22,2.01836804248443
1990-10-23,2.02025959874081
1990-10-24,1.99435854880441
1990-10-25,1.9886180218157
1990-10-26,1.99634697801431
1990-10-29,1.96035688952503
1990-10-30,1.95579290898282
1990-10-31,1.88229899385214
1990-11-01,1.84279871932503
