1996  05  30	 5.329575	 6.375308	 8.351061
1996  05  31	 5.246415	 6.472521	 8.375000
1996  06  03	 5.345609	 6.473275	 8.375000
1996  06  04	 5.339722	 6.444795	 8.375000
1996  06  05	 5.515662	 6.416061	 8.375000
1996  06  06	 5.194999	 6.509102	 6.987522
1996  06  07	 5.624332	 6.492692	 8.375000
1996  06  10	 5.761301	 6.788507	 8.375000
1996  06  11	 5.673591	 6.789835	 8.375000
1996  06  12	 5.663566	 6.785623	 8.375000
1996  06  13	 5.605771	 6.483504	 8.375000
1996  06  14	 5.245824	 6.632443	 7.484842
1996  06  17	 5.240385	 6.601800	 7.597211
1996  06  18	 5.380396	 6.571099	 7.482518
1996  06  19	 5.763436	 6.451329	 8.375000
1996  06  20	 5.656402	 6.464877	 8.375000
1996  06  21	 5.762276	 6.480653	 8.375000
1996  06  24	 5.468780	 6.497164	 8.375000
1996  06  25	 5.696968	 6.445500	 8.375000
1996  06  26	 5.587300	 6.444331	 8.375000
1996  06  27	 5.411623	 6.353072	 7.257517
1996  06  28	 5.295556	 6.156462	 6.925417
1996  07  01	 5.350161	 6.235573	 6.975332
1996  07  02	 5.346255	 6.247125	 7.051927
1996  07  03	 5.383996	 6.250910	 6.998552
1996  07  04	 NaN	 NaN	 NaN
1996  07  05	 5.789261	 6.653137	 8.329427
1996  07  08	 5.784012	 6.650798	 8.290142
1996  07  09	 5.791889	 6.648915	 7.477241
1996  07  10	 5.733440	 6.479959	 7.431707
1996  07  11	 5.455444	 6.382377	 7.369933
1996  07  12	 5.710755	 6.375775	 7.432448
1996  07  15	 5.672490	 6.402645	 7.496619
1996  07  16	 5.274837	 6.305955	 7.387382
1996  07  17	 5.463212	 6.386816	 7.409283
1996  07  18	 5.415509	 6.346286	 6.998442
1996  07  19	 5.454702	 6.398292	 7.111446
1996  07  22	 5.403111	 6.445663	 7.435873
1996  07  23	 5.396861	 6.427922	 7.400082
1996  07  24	 5.406573	 6.435711	 7.396346
1996  07  25	 5.399213	 6.477282	 7.236358
1996  07  26	 5.400260	 6.561830	 7.244962
1996  07  29	 5.444123	 6.508660	 7.492838
1996  07  30	 5.479053	 6.550787	 7.438484
1996  07  31	 5.420188	 6.420942	 7.426651
1996  08  01	 5.246782	 6.202492	 7.017425
1996  08  02	 5.106661	 6.076886	 6.871576
1996  08  05	 5.196159	 6.031631	 6.902372
1996  08  06	 5.195042	 6.039838	 6.901251
1996  08  07	 5.194748	 6.102874	 6.926123
1996  08  08	 5.200473	 6.154430	 6.923200
1996  08  09	 5.109187	 6.075528	 6.900765
1996  08  12	 5.101635	 6.045199	 6.880979
1996  08  13	 5.204515	 6.068683	 6.915371
1996  08  14	 5.169043	 6.103584	 6.905585
1996  08  15	 5.196915	 6.203369	 6.940077
1996  08  16	 5.121143	 6.074075	 6.922929
1996  08  19	 5.199757	 6.053497	 6.894775
1996  08  20	 5.252127	 6.084530	 6.892331
1996  08  21	 5.224243	 6.123568	 6.919736
1996  08  22	 5.224293	 6.125039	 6.921714
1996  08  23	 5.204429	 6.265876	 6.945582
1996  08  26	 5.225893	 6.338629	 7.111583
1996  08  27	 5.245810	 6.321989	 7.101117
1996  08  28	 5.220241	 6.355285	 7.120480
1996  08  29	 5.366957	 6.424869	 7.312396
1996  08  30	 5.584926	 6.454473	 7.672971
1996  09  02	 NaN	 NaN	 NaN
